finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M018,284.847,77.724,327.71366153222084,64.61260120718703,0.008608303,-0.002566908,0.006909433,0.008319868,0.009438229,0.046919633,0.47672075,0.8591648,0.18593869,0.011332791,brown_exact,0.0,0.0,ray_hit,0.0,4.2632564e-14,right_middip_roll_rubber_link,1614
middle,M019,32.809,78.823,-27.385313256169212,62.47645833566268,-0.008988191,-0.0023751247,0.006123481,0.0077133887,-0.00816054,0.04646506,0.40595496,-0.8995012,0.16154912,0.011132197,brown_exact,3.199272725464767e-12,3.199272725464767e-12,ray_hit,0.0,3.2413523e-12,right_middip_roll_rubber_link,1133
middle,M020,314.42,82.268,414.0913180674457,60.39808117427691,0.009537099,-0.0020204866,0.005003768,0.0066335117,0.010361018,0.045872036,0.31058076,0.942174,0.12588774,0.010957934,monotonic_extrapolation,6.467283092980084,3.623216976722521e-15,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1444
middle,M021,1.338,86.467,-148.498992669785,59.67231123500691,-0.009759149,-0.0016691556,0.004077548,0.0058206753,-0.00893825,0.045420356,0.21824157,-0.97031367,0.10422072,0.010707635,monotonic_extrapolation,19.190753374715527,2.1302254979899589e-13,ray_hit,0.0,2.267918e-13,right_middip_roll_rubber_link,1311
middle,M022,159.385,98.764,159.36530867761368,98.70814454952729,-0.00042112032,-0.0011426616,0.0103577385,0.009607187,0.00041333912,0.05043303,0.9511727,-0.016156089,0.30823612,0.010429082,brown_exact,0.0,0.0,ray_hit,0.0,0.0,right_middip_roll_rubber_link,854
middle,M023,190.355,99.304,190.67723115409072,99.1196095191041,0.0020640218,-0.0011136025,0.010391226,0.009599216,0.0028984684,0.050477356,0.9460071,0.022407914,0.32337046,0.0106526,brown_exact,1.4527727658641964e-14,1.4527727658641964e-14,ray_hit,0.0,4.2632564e-14,right_middip_roll_rubber_link,510
middle,M024,128.993,99.93,128.22126169498836,99.62640151128981,-0.0028675809,-0.0010628557,0.010290483,0.009511607,-0.0020334776,0.05043663,0.92726684,-0.08464844,0.36470652,0.010735302,brown_exact,1.0919865976511855e-13,1.0919865976511855e-13,ray_hit,0.0,1.1368684e-13,right_middip_roll_rubber_link,957
middle,M025,218.732,101.118,221.283610556109,100.50825310185215,0.0044341558,-0.0009895973,0.010251718,0.009405226,0.005267926,0.050456982,0.90531003,0.18575953,0.3819779,0.011213329,brown_exact,2.1791591487962947e-14,2.1791591487962947e-14,ray_hit,0.0,4.0194366e-14,right_middip_roll_rubber_link,545
middle,M026,100.677,101.911,96.35967386627098,101.09315689757636,-0.0052010478,-0.0009168823,0.009960778,0.009190576,-0.004368104,0.050289866,0.88737285,-0.2735179,0.37115675,0.011274248,brown_exact,2.209074830870764e-14,2.209074830870764e-14,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,778
middle,M027,245.641,103.28,254.84773345963492,102.04881645785896,0.0066297837,-0.00081525126,0.009621931,0.00884581,0.007461573,0.050106592,0.8062245,0.44007698,0.39539135,0.01171325,brown_exact,3.3539260516488443e-13,3.3539260516488443e-13,ray_hit,0.0,3.155322e-13,right_middip_roll_rubber_link,486
